league,match_date,round_number,home_team,away_team,match_home_score,match_away_score,minute,added_time,type,player,is_home,card_type,reason,player_in,player_out,period_text,injury_length,incident_home_score,incident_away_score
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,45,,period,,,,,,,HT,,0,0
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,45,,injuryTime,,,,,,,,1,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,54,,card,M. Politano,False,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,66,,substitution,,False,,,N. Lang,A. Santos,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,66,,substitution,,True,,,J. Messias,T. Baldanzi,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,66,,substitution,,True,,,S. Otoa,L. Østigård,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,67,,substitution,,False,,,K. De Bruyne,F. Anguissa,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,67,,substitution,,False,,,A. Vergara,M. Politano,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,74,,substitution,,True,,,F. Meichtry,L. Colombo,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,75,,substitution,,True,,,D. Sow,Amorim,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,78,,substitution,,False,,,L. Lucca,R. Højlund,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,81,,substitution,,False,,,M. Olivera,R. Marín,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,82,,goal,K. De Bruyne,False,,,,,,,0,1
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,85,,card,S. Sabelli,True,yellow,Argument,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,85,,card,L. Østigård,True,yellow,Argument,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,87,,substitution,,True,,,A. Zulevic,J. Vásquez,,,,
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,87,,goal,A. Vergara,False,,,,,,,0,2
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,90,,period,,,,,,,FT,,0,2
italia_serie_a_2026_2027,2026-08-22,1,Genoa,SSC Napoli,0,2,90,,injuryTime,,,,,,,,5,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,29,,goal,G. Varela,False,,,,,,,1,1
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,34,,card,L. Martínez,True,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,45,,period,,,,,,,HT,,1,1
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,45,1,card,H. Çalhanoğlu,True,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,45,,injuryTime,,,,,,,,1,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,48,,goal,P. Zieliński,True,,,,,,,2,1
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,54,,substitution,,True,,,P. Sučić,H. Çalhanoğlu,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,54,,substitution,,True,,,A. Bonny,L. Martínez,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,55,,goal,F. P. Esposito,True,,,,,,,3,1
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,6,,goal,H. Çalhanoğlu,True,,,,,,,1,0
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,63,,goal,Y. Bisseck,True,,,,,,,4,1
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,69,,card,E. Kouadio,False,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,70,,substitution,,False,,,N. Galazzi,M. Mout,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,70,,substitution,,False,,,P. Cutrone,A. Bakoune,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,70,,substitution,,False,,,O. Forson,A. Colpani,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,75,,substitution,,True,,,L. Henrique,A. Diouf,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,75,,substitution,,True,,,J. Stones,M. Akanji,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,83,,substitution,,True,,,A. Stanković,P. Zieliński,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,83,,substitution,,False,,,J. Robinson,G. Varela,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,84,,card,L. Lucchesi,False,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,88,,substitution,,False,,,F. Delli Carri,L. Lucchesi,,,,
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,90,,period,,,,,,,FT,,4,1
italia_serie_a_2026_2027,2026-08-22,1,Inter,Monza,4,1,90,,injuryTime,,,,,,,,3,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,10,,card,Z. Pedro,False,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,45,,period,,,,,,,HT,,0,0
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,45,,injuryTime,,,,,,,,3,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,57,,card,J. Fazzini,False,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,66,,substitution,,False,,,G. Borrelli,P. Mendy,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,66,,substitution,,False,,,M. Felici,J. Fazzini,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,66,,substitution,,False,,,G. Zappa,Z. Pedro,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,66,,substitution,,True,,,P. Almqvist,A. Bernabé,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,75,,substitution,,True,,,O. Diallo,S. Lontani,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,75,,substitution,,True,,,R. Kouda,M. Keita,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,79,,goal,A. Romano,False,,,,,,,0,1
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,84,,substitution,,True,,,N. Elphege,A. Konaté,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,85,,substitution,,True,,,B. Cremaschi,M. Troilo,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,87,,substitution,,False,,,K. Mutandwa,D. Maldini,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,87,,substitution,,False,,,G. Aurelio,A. Obert,,,,
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,90,,period,,,,,,,FT,,0,1
italia_serie_a_2026_2027,2026-08-22,1,Parma,Cagliari,0,1,90,,injuryTime,,,,,,,,5,,
italia_serie_a_2026_2027,2026-08-22,1,Udinese,Como,1,1,28,,card,J. Piotrowski,True,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Udinese,Como,1,1,29,,goal,H. Kamara,True,,,,,,,1,0
italia_serie_a_2026_2027,2026-08-22,1,Udinese,Como,1,1,41,,card,J. Abankwah,True,yellow,Foul,,,,,,
italia_serie_a_2026_2027,2026-08-22,1,Udinese,Como,1,1,45,,period,,,,,,,HT,,1,0
italia_serie_a_2026_2027,2026-08-22,1,Udinese,Como,1,1,45,,injuryTime,,,,,,,,3,,
italia_serie_a_2026_2027,2026-08-22,1,Udinese,Como,1,1,46,,substitution,,False,,,A. Diao,M. Baturina,,,,
italia_serie_a_2026_2027,2026-08-22,1,Udinese,Como,1,1,46,,substitution,,False,,,L. Da Cunha,M. Perrone,,,,
